,price,fuel,gear,mileage,hp
189,3.8,Diesel,Manual,15.3 ,83.83 
190,9.0,Diesel,Manual,25.1 ,88.5 
191,5.3,Petrol,Manual,20.73 ,91.1 
192,5.3,Petrol,Manual,23.84 ,84 
193,6.5,Petrol,Manual,17.01 ,121.3 
194,4.95,Petrol,Manual,12.8 ,177.6 
195,3.35,Petrol,Manual,17.0 ,118 
196,46.75,Diesel,Automatic,17.01 ,188 
197,12.9,Diesel,Automatic,16.55 ,147.51 
198,3.0,Diesel,Manual,20.0 ,68 
199,5.5,Petrol,Automatic,21.5 ,81.80 
200,3.9,Diesel,Manual,23.4 ,74 
201,2.6,Diesel,Manual,13.6 ,63 
202,3.95,Diesel,Manual,24.7 ,69 
203,5.5,Diesel,Manual,12.05 ,120 
204,6.5,Petrol,Manual,22.0 ,81.80 
205,3.75,Diesel,Manual,28.4 ,74 
206,3.0,Diesel,Manual,21.12 ,88.8 
207,4.5,Petrol,Manual,16.78 ,88.73 
208,3.35,Petrol,Manual,19.4 ,86.8 
209,13.0,Petrol,Manual,16.1 ,138 
210,3.6,Petrol,Manual,23.95 ,67.05 
211,5.05,Petrol,Manual,21.63 ,67.04 
212,3.1,Petrol,Manual,24.7 ,47.3 
213,5.45,Petrol,Manual,18.6 ,81.86 
214,3.0,Diesel,Manual,14.0 ,112 
215,2.0,Petrol,Manual,14.4 ,94 
216,1.5,Diesel,Manual,13.6 ,63 
217,5.8,Petrol,Manual,21.4 ,83.1 
218,2.5,Petrol,Manual,18.9 ,67.1 
219,6.5,Petrol,Manual,17.43 ,105.5 
220,8.0,Diesel,Manual,23.65 ,88.5 
221,14.75,Diesel,Automatic,15.73 ,174.33 
222,4.1,Diesel,Manual,25.47 ,88.50 
223,5.31,Diesel,Manual,22.77 ,98.59 
224,8.9,Diesel,Manual,23.0 ,98.96 
225,7.75,Diesel,Manual,14.0 ,138.1 
226,4.35,CNG,Manual,33.54 km/kg,67.04 
227,1.85,Diesel,Manual,20.0 ,68.05 
228,4.4,Diesel,Manual,15.96 ,62.1 
229,4.5,Petrol,Manual,18.6 ,81.83 
230,6.0,Petrol,Manual,21.4 ,83.1 
231,3.2,Petrol,Manual,23.1 ,67.04 
232,7.0,Diesel,Manual,21.19 ,88.73 
233,6.3,Petrol,Manual,18.16 ,86.8 
234,3.2,Petrol,Manual,22.74 ,47.3 
235,4.65,Petrol,Manual,16.8 ,116.3 
236,2.75,Diesel,Manual,21.12 ,88.8 
237,3.7,Diesel,Manual,21.64 ,84.8 
238,5.5,Petrol,Manual,18.6 ,81.83 
239,4.45,Petrol,Manual,22.0 ,81.80 
240,7.05,Diesel,Manual,14.0 ,138.1 
241,2.7,CNG,Manual,33.54 km/kg,67.04 
242,4.2,Diesel,Manual,23.08 ,63.1 
243,4.75,Diesel,Manual,26.0 ,98.6 
244,17.55,Diesel,Manual,12.55 ,168.5 
245,3.5,Petrol,Manual,16.9 ,100 
246,5.75,Petrol,Manual,18.6 ,81.83 
247,4.66,Diesel,Manual,23.59 ,67.06 
248,3.6,Petrol,Manual,23.01 ,67 
249,2.75,Petrol,Manual,24.7 ,47.3 
250,3.2,Petrol,Manual,19.44 ,67 
251,95.0,Petrol,Manual,14.0 ,35 
252,3.7,Petrol,Manual,18.9 ,82 
253,2.5,Petrol,Manual,19.4 ,86.8 
254,2.75,Petrol,Manual,17.5 ,85.8 
255,19.5,Petrol,Automatic,12.33 ,375.48 
256,5.5,Petrol,Manual,17.4 ,117.3 
257,13.25,Diesel,Manual,21.43 ,87.2 
258,7.5,Diesel,Manual,28.4 ,74.02 
259,2.9,Petrol,Manual,18.06 ,75 
260,2.72,Petrol,Manual,20.51 ,67.04 
261,9.51,Diesel,Manual,28.09 ,88.5 
262,2.8,Petrol,Manual,20.92 ,67.1 
263,5.45,Petrol,Manual,16.8 ,116.3 
264,4.5,Petrol,Manual,22.3 ,53.26 
265,4.8,Petrol,Manual,18.6 ,81.83 
266,10.6,Diesel,Manual,15.4 ,120 
267,2.35,Petrol,Manual,22.74 ,47.3 
268,5.9,Petrol,Manual,21.4 ,83.1 
269,7.5,Diesel,Manual,18.49 ,100 
270,71.0,Petrol,Automatic,0.0 ,
271,4.5,Diesel,Manual,18.49 ,100 
272,29.5,Diesel,Automatic,12.9 ,174.5 
273,1.1,Petrol,Manual,17.92 ,62.1 
274,2.8,Diesel,Manual,13.5 ,115 
275,18.51,Petrol,Automatic,17.84 ,147.51 
276,7.5,Petrol,Manual,17.4 ,117.3 
277,4.0,Petrol,Manual,18.9 ,81.86 
278,5.3,Diesel,Manual,26.59 ,74 
279,8.7,Diesel,Manual,16.55 ,105 
280,2.95,Petrol,Manual,25.17 ,53.3 
281,3.7,Diesel,Manual,27.28 ,69 
282,5.3,Petrol,Manual,21.21 ,81.80 
283,6.0,Diesel,Manual,24.4 ,71 
284,3.5,Petrol,Automatic,24.04 ,67 
285,4.7,Diesel,Manual,22.7 ,89.84 
286,3.9,Diesel,Manual,25.83 ,99 
287,1.16,Diesel,Manual,13.2 ,56 
288,9.2,Diesel,Manual,15.4 ,120 
289,5.5,Diesel,Manual,15.1 ,140 
290,6.35,Diesel,Manual,22.32 ,126.32 
291,12.5,Diesel,Automatic,16.0 ,140 
292,3.0,Petrol,Manual,24.7 ,47.3 
293,9.6,Petrol,Automatic,18.0 ,117.6 
294,7.5,Diesel,Manual,24.3 ,88.5 
295,2.49,Petrol,Manual,16.47 ,73.9 
296,14.0,Diesel,Manual,17.6 ,153.86 
297,2.5,Diesel,Manual,20.0 ,68 
298,6.1,Diesel,Manual,22.32 ,126.32 
299,1.65,Petrol,Manual,18.2 ,67.1 
300,5.45,Diesel,Manual,21.7 ,98.96 
301,4.8,Diesel,Manual,22.32 ,126.3 
302,3.95,Petrol,Manual,18.6 ,81.83 
303,4.95,Diesel,Manual,12.99 ,100.6 
304,5.5,Diesel,Manual,0.0 ,99 
305,4.7,Petrol,Manual,18.9 ,82 
306,2.0,Petrol,Manual,16.84 ,64.4 
307,2.8,Diesel,Manual,17.0 ,105 
308,1.49,Petrol,Manual,14.4 ,94 
309,2.0,Diesel,Manual,22.07 ,73.9 
310,6.99,Diesel,Manual,21.19 ,88.73 
311,3.15,Petrol,Manual,14.28 ,138.03 
312,3.4,Petrol,Manual,20.51 ,67.04 
313,5.0,Diesel,Manual,20.45 ,83.8 
314,10.5,Petrol,Manual,17.14 ,117.6 
315,6.0,Diesel,Manual,19.6 ,108.45 
316,4.78,Diesel,Manual,20.5 ,91.72 
317,4.91,Petrol,Manual,20.4 ,81.80 
318,nan,,,,
319,28.9,Petrol,Automatic,12.63 ,177 
320,1.6,Petrol,Manual,20.36 ,78.9 
321,9.85,Petrol,Manual,18.27 ,118.35 
322,5.0,Diesel,Manual,23.4 ,74 
323,3.35,Petrol,Manual,23.84 ,84 
324,85.0,Petrol,Manual,19.7 ,46.3 
325,9.5,Diesel,Manual,21.9 ,98.6 
326,7.4,Petrol,Automatic,17.1 ,88.51 
327,2.0,Diesel,Manual,17.0 ,71 
328,3.75,Petrol,Manual,22.0 ,81.80 
329,8.1,Diesel,Manual,24.3 ,88.5 
330,1.73,Petrol,Manual,16.47 ,73.9 
331,7.0,Diesel,Manual,24.3 ,88.5 
332,3.1,Diesel,Manual,25.32 ,77 
333,8.5,Diesel,Manual,15.4 ,120 
334,2.85,Diesel,Manual,22.54 ,88.76 
335,4.5,Diesel,Manual,23.4 ,74 
336,11.0,Diesel,Manual,19.67 ,126.2 
337,3.5,Diesel,Manual,14.0 ,112 
338,10.8,Diesel,Manual,15.4 ,120 
339,5.3,Diesel,Manual,26.0 ,98.6 
340,6.8,Diesel,Manual,28.4 ,74.02 
341,10.25,Diesel,Manual,15.4 ,120 
342,6.5,Petrol,Manual,18.6 ,81.83 
343,1.94,Petrol,Manual,20.36 ,78.9 
344,6.86,Petrol,Automatic,21.4 ,83.1 
345,2.0,Petrol,Manual,22.74 ,47.3 
346,2.5,Petrol,Manual,19.1 ,85.8 
347,7.3,Diesel,Manual,24.3 ,88.5 
348,6.5,Petrol,Manual,17.01 ,121.3 
349,7.9,Diesel,Manual,24.3 ,88.5 
350,6.2,Petrol,Manual,21.4 ,83.1 
351,5.1,Petrol,Manual,17.01 ,121.3 
352,1.15,Petrol,Manual,0.0 ,
353,3.75,Petrol,Manual,15.37 ,73 
354,5.25,Diesel,Manual,19.01 ,108.5 
355,6.2,Petrol,Automatic,21.21 ,81.80 
356,2.7,Diesel,Manual,19.09 ,69.01 
357,9.5,Diesel,Automatic,11.4 ,153.86 
358,14.5,Diesel,Manual,13.68 ,147.51 
359,8.45,Petrol,Automatic,18.0 ,117.3 
360,3.9,Diesel,Manual,23.4 ,74 
361,3.95,Petrol,Manual,18.0 ,86.7 
362,4.5,Petrol,Manual,18.9 ,81.86 
363,17.0,Diesel,Automatic,17.68 ,174.33 
364,3.25,Petrol,Manual,18.9 ,82 
365,3.5,Diesel,Manual,25.32 ,77 
366,6.5,Diesel,Manual,15.1 ,140 
367,12.5,Petrol,Manual,12.3 ,185 
368,2.2,Petrol,Manual,19.0 ,67.1 
369,3.5,Diesel,Manual,17.21 ,100 
370,7.5,Diesel,Manual,28.4 ,74.02 
371,2.99,Petrol,Manual,17.0 ,118 
372,3.78,Diesel,Manual,24.4 ,71 
373,70.0,Petrol,Automatic,12.19 ,237.36 
374,13.25,Petrol,Automatic,17.33 ,189.08 
375,5.24,Diesel,Manual,20.77 ,88.76 
376,1.69,Diesel,Manual,20.0 ,68.05 
377,5.0,Diesel,Manual,20.77 ,88.8 
378,20.0,Diesel,Automatic,12.07 ,241.4 
379,3.8,Diesel,Manual,23.4 ,74 
380,4.0,Petrol,Automatic,20.51 ,67 
381,5.65,Petrol,Automatic,20.3 ,68 
382,3.35,Petrol,Manual,20.51 ,67.04 
383,3.0,Diesel,Manual,12.05 ,120 
384,2.0,Diesel,Manual,25.44 ,57.6 
385,10.51,Diesel,Manual,15.4 ,120 
386,5.1,Diesel,Manual,24.0 ,73.97 
387,3.7,Petrol,Automatic,24.04 ,67 
388,2.0,Petrol,Manual,18.9 ,67.1 
389,6.25,Diesel,Manual,27.39 ,74 
390,12.9,Diesel,Manual,16.36 ,140 
391,8.9,Petrol,Manual,15.8 ,121.3 
392,4.2,Diesel,Manual,22.32 ,126.3 
393,5.0,Petrol,Manual,20.4 ,83.11 
394,7.5,Diesel,Manual,20.45 ,83.8 
395,6.0,Petrol,Manual,18.9 ,81.86 
396,5.9,Diesel,Manual,27.39 ,74 
397,1.9,Petrol,Manual,20.36 ,78.9 
398,5.0,Petrol,Manual,19.44 ,67 
399,4.5,Petrol,Manual,23.1 ,67.04 
400,5.5,Diesel,Manual,17.45 ,100 
401,1.7,Petrol,Manual,18.6 ,79.4 
402,6.5,Diesel,Manual,15.1 ,140 
403,82.5,Petrol,Automatic,11.29 ,335 
404,5.0,Petrol,Manual,20.52 ,81.80 
405,5.0,Petrol,Automatic,16.9 ,82 
406,1.4,Petrol,Manual,19.7 ,46.3 
407,3.49,CNG,Manual,18.0 km/kg,86.7 
408,3.25,Petrol,Manual,20.51 ,67.06 
409,4.35,Petrol,Manual,17.8 ,117.3 
410,4.55,CNG,Manual,31.79 km/kg,58.33 
411,62.0,Petrol,Automatic,9.17 ,335.25 
412,7.55,Petrol,Manual,17.8 ,117.3 
413,6.5,Diesel,Automatic,13.73 ,148 
414,40.0,Petrol,Automatic,16.6 ,177 
415,2.5,Petrol,Manual,19.4 ,86.8 
416,2.45,Petrol,Manual,23.95 ,67.05 
417,13.5,Diesel,Manual,20.8 ,113.4 
418,2.15,Diesel,Manual,19.09 ,69 
419,4.0,Diesel,Manual,19.09 ,69.01 
420,3.1,Petrol,Automatic,24.04 ,67 
421,12.35,Petrol,Automatic,0.0 ,163.05 
422,12.65,Diesel,Manual,20.37 ,108.45 
423,55.0,Petrol,Automatic,14.28 ,254.7 
424,92.0,Petrol,Automatic,9.0 ,285.4 
425,6.75,Diesel,Manual,19.3 ,73.9 
426,5.0,Petrol,Manual,20.52 ,81.80 
427,3.0,Petrol,Manual,20.36 ,78.9 
428,14.5,Diesel,Automatic,15.4 ,120 
429,5.3,Diesel,Manual,12.05 ,120 
430,5.75,Diesel,Manual,22.7 ,89.84 
431,2.4,CNG,Manual,17.0 km/kg,
432,5.5,Petrol,Manual,18.6 ,81.83 
433,5.0,Diesel,Manual,26.21 ,88.5 
434,6.43,Petrol,Manual,21.01 ,81.80 
435,10.0,Petrol,Manual,18.1 ,123.24 
436,6.11,Diesel,Manual,25.4 ,73.97 
437,3.1,Diesel,Manual,23.59 ,67.04 
438,5.5,Petrol,Manual,18.9 ,82 
439,3.5,Diesel,Manual,21.64 ,84.8 
440,3.0,Diesel,Manual,20.54 ,103.6 
441,4.7,Petrol,Manual,20.3 ,84 
442,5.25,Diesel,Manual,26.0 ,98.6 
443,4.69,Petrol,Manual,19.44 ,67 
444,2.1,Petrol,Manual,20.92 ,67.1 
445,2.0,Petrol,Manual,22.74 ,47.3 
446,4.0,Petrol,Manual,23.01 ,67 
447,21.5,Diesel,Automatic,16.36 ,187.7 
448,3.4,Petrol,Manual,23.1 ,67.04 
449,95.0,Petrol,Manual,19.7 ,46.3 
450,20.5,Diesel,Automatic,15.73 ,174.33 
451,3.81,Diesel,Manual,22.9 ,74 
452,7.75,Diesel,Automatic,14.94 ,204 
453,7.0,Diesel,Manual,28.4 ,74.02 
454,6.75,Diesel,Manual,28.09 ,88.50 
455,6.7,Petrol,Automatic,18.0 ,117.3 
456,10.5,Diesel,Manual,16.0 ,140 
457,3.15,Diesel,Manual,21.64 ,84.8 
458,79.0,Diesel,Automatic,13.38 ,265 
459,3.6,Petrol,Manual,17.0 ,118 
460,4.0,Diesel,Manual,25.83 ,99 
461,4.7,Diesel,Manual,22.32 ,126.32 
462,3.04,Petrol,Manual,24.7 ,47.3 
463,5.25,Diesel,Manual,22.95 ,74 
464,4.9,Diesel,Manual,26.0 ,98.6 
465,8.64,Diesel,Manual,15.4 ,120 
466,4.8,Diesel,Manual,16.0 ,140 
467,3.5,Petrol,Manual,19.1 ,82 
468,5.75,Petrol,Automatic,20.52 ,81.80 
469,28.5,Diesel,Automatic,17.9 ,136 
470,6.86,Petrol,Automatic,21.4 ,83.1 
471,55.0,Petrol,Manual,0.0 ,
472,3.0,Petrol,Manual,15.0 ,104.68 
473,1.03,Petrol,Manual,18.5 ,53 
474,7.8,Diesel,Manual,12.99 ,100 
475,34.9,Diesel,Automatic,17.68 ,174.33 
476,2.35,Petrol,Automatic,10.1 ,505 
477,16.99,Diesel,Manual,17.41 ,167.68 
478,2.75,Petrol,Manual,18.5 ,86.8 
479,8.0,Diesel,Manual,28.4 ,74 
480,6.8,Petrol,Automatic,21.4 ,83.1 
481,12.0,Diesel,Manual,11.5 ,171 
482,5.25,Diesel,Manual,12.99 ,100 
483,9.55,Petrol,Manual,17.0 ,121.36 
484,3.5,Diesel,Manual,21.9 ,90 
485,8.0,Petrol,Manual,17.03 ,103.26 
486,75.0,Petrol,Manual,19.7 ,46.3 
487,8.25,Diesel,Manual,16.0 ,140 
488,14.76,Diesel,Manual,17.3 ,121 
489,6.7,Petrol,Automatic,18.2 ,88.7 
490,1.8,Petrol,Manual,19.7 ,46.3 
491,3.5,Petrol,Manual,16.95 ,97.6 
492,4.9,Petrol,Manual,18.9 ,81.86 
493,5.5,Petrol,Manual,21.4 ,83.1 
494,3.5,Petrol,Manual,20.36 ,78.9 
495,nan,,,,
496,2.45,Petrol,Manual,14.53 ,138.1 
497,15.0,Diesel,Manual,13.68 ,147.8 
498,2.5,Petrol,Manual,21.1 ,55.2 
499,1.9,Diesel,Manual,20.0 ,68.05 
500,4.0,Petrol,Manual,17.0 ,73.75 
501,4.6,Diesel,Manual,20.45 ,83.8 
502,6.5,Petrol,Automatic,21.21 ,81.80 
503,7.0,Diesel,Manual,28.09 ,88.5 
504,1.2,Petrol,Manual,16.2 ,62.1 
505,38.5,Diesel,Automatic,17.9 ,201.15 
506,4.55,Petrol,Manual,20.4 ,81.80 
507,2.35,Petrol,Manual,0.0 ,62 
508,1.6,Diesel,Manual,19.09 ,69 
509,3.65,Petrol,Manual,22.0 ,81.80 
510,5.55,Diesel,Manual,23.59 ,67.05 
511,4.7,Petrol,Manual,19.1 ,85.8 
512,3.25,Diesel,Manual,21.1 ,73.9 
513,29.5,Diesel,Automatic,12.9 ,174.5 
514,8.0,Diesel,Manual,20.45 ,83.8 
515,4.0,Diesel,Manual,22.9 ,74 
516,5.5,Diesel,Manual,19.87 ,83.8 
517,15.19,Petrol,Automatic,13.9 ,130.2 
518,7.4,Diesel,Automatic,28.4 ,74.02 
519,1.25,Diesel,Manual,19.1 ,70 
520,2.71,Petrol,Manual,19.4 ,86.8 
521,4.25,Petrol,Automatic,10.0 ,175.6 
522,4.75,Diesel,Manual,23.5 ,45 
523,3.25,Diesel,Manual,25.8 ,98.6 
524,6.0,Petrol,Automatic,20.7 ,81.86 
525,3.0,Diesel,Manual,25.8 ,98.6 
526,3.0,Petrol,Manual,20.36 ,78.9 
527,3.45,CNG,Manual,26.6 km/kg,58.16 
528,9.0,Diesel,Manual,15.4 ,75 
529,10.25,Diesel,Manual,16.0 ,140 
530,14.5,Diesel,Manual,12.4 ,134 
531,4.0,Petrol,Manual,20.4 ,81.80 
532,3.67,Diesel,Manual,25.8 ,98.6 
533,5.35,Petrol,Automatic,18.9 ,81.86 
534,8.05,Petrol,Manual,19.34 ,103 
535,14.88,Petrol,Manual,15.81 ,141 
536,2.5,Petrol,Manual,20.36 ,78.9 
537,7.0,Diesel,Automatic,14.21 ,203 
538,6.75,Diesel,Manual,24.3 ,88.5 
539,4.25,Diesel,Manual,28.4 ,74 
540,2.6,Petrol,Manual,22.74 ,47.3 
541,3.0,Petrol,Manual,19.1 ,82 
542,7.0,Petrol,Manual,17.8 ,117.3 
543,5.6,Diesel,Manual,27.39 ,74 
544,1.55,Diesel,Manual,16.8 ,110 
545,59.75,Diesel,Automatic,15.15 ,240 
546,8.0,Petrol,Manual,19.01 ,103.26 
547,7.5,Diesel,Automatic,22.69 ,190 
548,3.5,Petrol,Manual,18.9 ,82 
